"pr_code";"program"
1;"Administration management"
2;"Agricultural engineering"
3;"Agricultural Engineering Informatics and Local administration"
4;"Agricultural instructor"
5;"Agriculture and food Mechanical Engineer"
6;"Ancient Languages and Cultures"
7;"Andragogy"
8;"Anglistics"
9;"Animal production engineer"
10;"Applied economics"
11;"Architect"
12;"Architecture "
13;"Bioengineering"
14;"Biology"
15;"Business Information"
16;"Business management"
17;"Business trainer"
18;"Catechist, pastoral staff"
19;"Ceramic design"
20;"Chemical engineering"
21;"Chemistry"
22;"Civil engineering"
23;"Commerce and marketing"
24;"Communication and Media Science"
25;"Conductor"
26;"Cultural anthropology"
27;"Dancer"
28;"Dancer and rehearsal leader"
29;"Design"
30;"Design and Art Theory"
31;"Digital presentation"
32;"Earth science"
33;"Earth Science"
34;"Eastern Languages and Cultures"
35;"Ecology"
36;"Economic and finance mathematical analysis"
37;"Economic and Rural Development Agricultural Engineering"
38;"Electric engineer"
39;"Energy engineering"
40;"Environmental engineering"
41;"Environmental management agricultural engineer"
42;"Ethnography"
43;"Finance and Accounting"
44;"Food engineering"
45;"Forestry engineer"
46;"Garden and Landscape Architect Engineering"
47;"Geography"
48;"Germanistics"
49;"Graphic design"
50;"Health Care and Prevention"
51;"Health improvement"
52;"Health organization"
53;"History"
54;"Horticulturist"
55;"Human Kinesiology"
56;"Human resources"
57;"Hungarian litrature and language"
58;"Imagery"
59;"Industrial product design engineer"
60;"International management"
61;"International Management"
62;"International Studies"
63;"IT  engineer "
64;"Justice administration"
65;"Kindergarten teacher"
66;"Laboratory and diagnostic imaging analyst"
67;"Labour and Social Security Administration"
68;"Liberal Arts"
69;"Library and information"
70;"Light industrial engineering"
71;"Materials engineering"
72;"Mathematics"
73;"Mechanical Engineer"
74;"Mechatronic engineering"
75;"Media design"
76;"Military and Security Engineering"
77;"Motion picture culture and media studies"
78;"Nature conservation engineering"
79;"Nursing and Patient Care"
80;"Pedagogy"
81;"Performing arts"
82;"Photography"
83;"Physics"
84;"Plant production engineer"
85;"Plastic representation"
86;"Political science"
87;"Psychology"
88;"Public service"
89;"Romance"
90;"Security management"
91;"Singing and music"
92;"Slavic Studies"
93;"Social pedagogy"
94;"Social studies"
95;"Social work"
96;"Sociology"
97;"Software Engineering"
98;"Special education"
99;"Sports Coaching"
100;"Sports organizer"
101;"Surveying and Land Management Engineering"
102;"Teacher"
103;"Technical Manager"
104;"Technical trainer"
105;"Textile design"
106;"Theology"
107;"Tourism "
108;"Traffic engineering"
109;"Wildlife engineer"
110;"Wood Engineering"
